game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
Scribblenauts Showdown,Switch,Puzzle,2018-03-06,47,7.0,25
ARK Park,PS4,Adventure,2018-03-22,46,3.0,25
Yet Another Zombie Defense HD,XONE,Strategy,2018-06-22,45,10.0,22
Bravo Team,PS4,Action,2018-03-06,45,4.0,25
KURSK,PC,Action Adventure,2018-11-07,43,3.0,17
New Gundam Breaker,PS4,Action,2018-06-22,43,4.0,22
Fear Effect Sedna,PC,Role-Playing,2018-03-06,42,5.0,25
Tennis World Tour,XONE,Sports,2018-05-22,42,15.0,23
Gungrave VR,PS4,Action,2018-12-11,41,4.0,16
Nickelodeon Kart Racers,Switch,Racing,2018-10-23,41,1.0,18
Senran Kagura Reflexions,Switch,Action,2018-09-13,39,4.0,19
Hello Neighbor,Switch,Adventure,2018-07-27,39,3.0,21
Underworld Ascendant,PC,Role-Playing,2018-11-15,37,5.0,17
Heavy Fire: Red Shadow,PS4,Action,2018-10-16,36,4.0,18
Shaq Fu: A Legend Reborn,PS4,Action,2018-06-05,36,4.0,22
Hollow,Switch,Action Adventure,2018-02-22,36,3.0,26
One Piece: Grand Cruise,PS4,Action,2018-05-22,35,4.0,23
Super Seducer: How to Talk to Girls,PC,Adventure,2018-03-06,35,3.0,25
Past Cure,XONE,Action,2018-02-23,34,4.0,26
Agony,XONE,Action Adventure,2018-05-29,34,3.0,23
Fantasy Hero: Unsigned Legacy,Switch,Role-Playing,2018-01-25,34,5.0,27
Gene Rain,XONE,Action,2018-07-31,32,4.0,21
ARK: Survival Evolved,Switch,Action Adventure,2018-11-30,29,3.0,17
The Quiet Man,PS4,Action Adventure,2018-11-01,29,3.0,17
Wild West Online,PC,Role-Playing,2018-05-10,29,5.0,23
NieR: Automata - Game of the YoRHa Edition,PS4,Role-Playing,2019-02-26,90,5.0,14
Sekiro: Shadows Die Twice,PS4,Action Adventure,2019-03-22,90,3.0,13
Resident Evil 2,PC,Action Adventure,2019-01-25,89,3.0,15
Slay the Spire,PC,Strategy,2019-01-23,89,10.0,15
Apex Legends,PC,Action,2019-02-04,88,4.0,14
Assault Android Cactus+,Switch,Action,2019-03-08,87,4.0,13
Devil May Cry 5,XONE,Action Adventure,2019-03-08,87,3.0,13
Downwell,Switch,Action,2019-01-31,87,4.0,15
Sunless Skies,PC,Action Adventure,2019-01-31,86,3.0,15
Devotion,PC,Action Adventure,2019-02-19,85,3.0,14
Guacamelee! 2,XONE,Action,2019-01-18,85,4.0,15
BlazBlue: Central Fiction - Special Edition,Switch,Action,2019-02-07,85,4.0,14
MLB The Show 19,PS4,Sports,2019-03-26,85,15.0,13
Steins;Gate Elite,Switch,Action,2019-02-19,85,4.0,14
Baba Is You,Switch,Action Adventure,2019-03-13,84,3.0,13
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,3DS,Role-Playing,2019-01-11,84,5.0,15
Sega Ages: OutRun,Switch,Racing,2019-01-10,84,1.0,15
Tetris 99,Switch,Puzzle,2019-02-13,83,7.0,14
Ape Out,PC,Action,2019-02-28,83,4.0,14
The Messenger,PS4,Action,2019-03-19,82,4.0,13
DiRT Rally 2.0,XONE,Racing,2019-02-26,82,1.0,14
Hypnospace Outlaw,PC,Adventure,2019-03-12,82,3.0,13
Sid Meier's Civilization VI: Gathering Storm,PC,Strategy,2019-02-14,82,10.0,14
Unravel Two,Switch,Action,2019-03-22,82,4.0,13
The Legend of Heroes: Trails of Cold Steel,PS4,Role-Playing,2019-03-26,81,5.0,13
